TABLE_NAME,LOCAL_ID_COLUMNS
CASE_LAB_DATAMART,"INVESTIGATION_LOCAL_ID, PATIENT_LOCAL_ID"
COVID_VACCINATION_DATAMART,"INVESTIGATION_LOCAL_ID, LOCAL_ID, PATIENT_LOCAL_ID"
D_CONTACT_RECORD,LOCAL_ID
D_INTERVIEW,LOCAL_ID
DATA_VALIDATION,"EVENT_LOCAL_ID, PATIENT_LOCAL_ID"
INV_SUMM_DATAMART,"INVESTIGATION_LOCAL_ID, NOTIFICATION_LOCAL_ID, PATIENT_LOCAL_ID"
LDF_BMIRD,"INVESTIGATION_LOCAL_ID, PATIENT_LOCAL_ID"
LDF_GENERIC,"INVESTIGATION_LOCAL_ID, PATIENT_LOCAL_ID"
LDF_GENERIC1,"INVESTIGATION_LOCAL_ID, PATIENT_LOCAL_ID"
LDF_GENERIC2,"INVESTIGATION_LOCAL_ID, PATIENT_LOCAL_ID"
LDF_HEPATITIS,"INVESTIGATION_LOCAL_ID, PATIENT_LOCAL_ID"
LDF_MUMPS,"INVESTIGATION_LOCAL_ID, PATIENT_LOCAL_ID"
LDF_TETANUS,"INVESTIGATION_LOCAL_ID, PATIENT_LOCAL_ID"
LDF_VACCINE_PREVENT_DISEASES,"INVESTIGATION_LOCAL_ID, PATIENT_LOCAL_ID"
NOTIFICATION,NOTIFICATION_LOCAL_ID
SR100,LOCAL_ID
STD_HIV_DATAMART,"INV_LOCAL_ID, PATIENT_LOCAL_ID"
TB_DATAMART,"INVESTIGATION_LOCAL_ID, NOTIFICATION_LOCAL_ID, PATIENT_LOCAL_ID"
TB_HIV_DATAMART,"INVESTIGATION_LOCAL_ID, NOTIFICATION_LOCAL_ID, PATIENT_LOCAL_ID"
VAR_DATAMART,"INVESTIGATION_LOCAL_ID, NOTIFICATION_LOCAL_ID, PATIENT_LOCAL_ID"
