TABLE_NAME,UID_COLUMNS
DQ_ALL_CASE,EVENT_UID
D_ADDL_RISK,TB_PAM_UID
D_DISEASE_SITE,TB_PAM_UID
D_GT_12_REAS,TB_PAM_UID
D_HC_PROV_TY_3,TB_PAM_UID
D_INTERVIEW_NOTE,NBS_ANSWER_UID
D_INVESTIGATION_REPEAT,"LAB_LINKING_UID, PAGE_CASE_UID, PARENT_UID"
D_INVESTIGATION_REPEAT_INC,"LAB_LINKING_UID, PAGE_CASE_UID, PARENT_UID"
D_INV_ADMINISTRATIVE,nbs_case_answer_uid
D_INV_CLINICAL,nbs_case_answer_uid
D_INV_COMPLICATION,nbs_case_answer_uid
D_INV_CONTACT,nbs_case_answer_uid
D_INV_DEATH,nbs_case_answer_uid
D_INV_HIV,nbs_case_answer_uid
D_INV_ISOLATE_TRACKING,nbs_case_answer_uid
D_INV_LAB_FINDING,nbs_case_answer_uid
D_INV_MEDICAL_HISTORY,nbs_case_answer_uid
D_INV_MOTHER,nbs_case_answer_uid
D_INV_OTHER,nbs_case_answer_uid
D_INV_PATIENT_OBS,nbs_case_answer_uid
D_INV_PLACE_REPEAT,"PAGE_CASE_UID, PLACE_LOCATOR_UID, PLACE_POSTAL_UID, PLACE_TELE_LOCATOR_UID, PLACE_UID"
D_INV_PREGNANCY_BIRTH,nbs_case_answer_uid
D_INV_RESIDENCY,nbs_case_answer_uid
D_INV_RISK_FACTOR,nbs_case_answer_uid
D_INV_SOCIAL_HISTORY,nbs_case_answer_uid
D_INV_SYMPTOM,nbs_case_answer_uid
D_INV_TRAVEL,nbs_case_answer_uid
D_INV_TREATMENT,nbs_case_answer_uid
D_INV_UNDER_CONDITION,nbs_case_answer_uid
D_INV_VACCINATION,nbs_case_answer_uid
D_LDF_META_DATA,"custom_subform_metadata_uid, ldf_uid"
D_MOVED_WHERE,TB_PAM_UID
D_MOVE_CNTRY,TB_PAM_UID
D_MOVE_CNTY,TB_PAM_UID
D_MOVE_STATE,TB_PAM_UID
D_ORGANIZATION,ORGANIZATION_UID
D_OUT_OF_CNTRY,TB_PAM_UID
D_PATIENT,"PATIENT_MPR_UID, PATIENT_UID"
D_PCR_SOURCE,VAR_PAM_UID
D_PLACE,"PLACE_LOCATOR_UID, PLACE_POSTAL_UID, PLACE_TELE_LOCATOR_UID, PLACE_UID"
D_PROVIDER,PROVIDER_UID
D_RASH_LOC_GEN,VAR_PAM_UID
D_SMR_EXAM_TY,TB_PAM_UID
D_TB_HIV,TB_PAM_UID
D_TB_PAM,TB_PAM_UID
D_VACCINATION,VACCINATION_UID
D_VAR_PAM,VAR_PAM_UID
ENTITY_KEYSTORE_INC,"HOSPITAL_UID, INVESTIGATOR_UID, ORG_AS_REPORTER_UID, PAGE_CASE_UID, PATIENT_UID, PERSON_AS_REPORTER_UID, PHYSICIAN_UID"
ENTITY_KEYSTORE_STD,"HOSPITAL_UID, INVESTIGATOR_UID, ORG_AS_REPORTER_UID, PAGE_CASE_UID, PATIENT_UID, PERSON_AS_REPORTER_UID, PHYSICIAN_UID"
F_S_INV_CASE,"HOSPITAL_UID, INVESTIGATOR_uid, ORDERING_FACILTY_UID, ORG_AS_REPORTER_UID, PAGE_CASE_UID, PERSON_AS_REPORTER_UID, PHYSICIAN_UID, patient_uid"
F_S_STD_HIV_CASE,"HOSPITAL_UID, INVESTIGATOR_uid, ORDERING_FACILTY_UID, ORG_AS_REPORTER_UID, PAGE_CASE_UID, PERSON_AS_REPORTER_UID, PHYSICIAN_UID, patient_uid"
F_S_TB_PAM,"HOSPITAL_UID, ORG_AS_REPORTER_UID, PERSON_AS_REPORTER_UID, PERSON_UID, PHYSICIAN_UID, PROVIDER_UID, TB_PAM_UID"
F_S_VAR_PAM,"HOSPITAL_UID, ORG_AS_REPORTER_UID, PERSON_AS_REPORTER_UID, PERSON_UID, PHYSICIAN_UID, PROVIDER_UID, VAR_PAM_UID"
GEOCODING_LOCATION,"entity_uid, geocoding_result_uid, postal_locator_uid"
HEP100,"CASE_UID, INVESTIGATOR_UID, PATIENT_UID, PHYSICIAN_UID, REPORTING_SOURCE_UID"
HEPATITIS_DATAMART,"CASE_UID, INVESTIGATOR_UID, PATIENT_UID, PHYSICIAN_UID, REPORTING_SOURCE_UID"
INVESTIGATION,CASE_UID
LAB100,REPORTING_FACILITY_UID
LAB101,REPORTING_FACILITY_UID
LAB_RESULT_COMMENT,LAB_TEST_UID
LAB_RESULT_VAL,LAB_TEST_UID
LAB_RESULT_VAL_LARGE_TXT,LAB_RPT_UID
LAB_RPT_USER_COMMENT,LAB_TEST_UID
LAB_TEST,"LAB_RPT_UID, LAB_TEST_UID"
LAB_TEST_RESULT,LAB_TEST_UID
LDF_DATAMART_COLUMN_REF,"LDF_DATAMART_COLUMN_REF_UID, LDF_UID"
LDF_DATAMART_TABLE_REF,LDF_DATAMART_TABLE_REF_UID
LDF_GROUP,BUSINESS_OBJECT_UID
MISSING_LAB_CASES,"ETL_MISSING_RECORD_UID, PROCESS_UID"
MORBIDITY_REPORT,MORB_RPT_UID
MORBIDITY_REPORT_DATAMART,REPORTING_FACILITY_UID
MORB_RPT_USER_COMMENT,MORB_RPT_UID
NBS_CASE_ANSWER_REPT,"act_uid, nbs_case_answer_uid, nbs_question_uid, nbs_table_metadata_uid"
PAGE_DATE_TABLE_REPT,"NBS_CASE_ANSWER_UID, NBS_QUESTION_UID, PAGE_CASE_UID"
PHC_CASE_UIDS,PAGE_CASE_UID
PHC_CASE_UIDS_ALL,"CASE_MANAGEMENT_UID, PAGE_CASE_UID"
PHC_UIDS,"CASE_MANAGEMENT_UID, PAGE_CASE_UID"
PHC_UIDS_ALL,"CASE_MANAGEMENT_UID, PAGE_CASE_UID"
Phc_keys,public_health_case_uid
RDB_TABLE_METADATA,NBS_QUESTION_UID
