TABLE_NAME,COLUMN_NAME
ACTIVITY_LOG_DETAIL,activity_log_detail_uid
ACTIVITY_LOG_DETAIL,activity_log_master_uid
ACTIVITY_LOG_DETAIL,process_uid
ACTIVITY_LOG_MASTER,activity_log_master_uid
ACTIVITY_LOG_MASTER_LAST_SAS,activity_log_master_uid
AGGREGATE_REPORT_DATAMART,PROVIDER_UID
COVID_CASE_DATAMART,public_health_case_uid
COVID_LAB_DATAMART,Observation_Uid
D_ADDL_RISK,TB_PAM_UID
D_DISEASE_SITE,TB_PAM_UID
D_GT_12_REAS,TB_PAM_UID
D_HC_PROV_TY_3,TB_PAM_UID
D_INTERVIEW_NOTE,NBS_ANSWER_UID
D_INV_ADMINISTRATIVE,nbs_case_answer_uid
D_INV_CLINICAL,nbs_case_answer_uid
D_INV_COMPLICATION,nbs_case_answer_uid
D_INV_CONTACT,nbs_case_answer_uid
D_INV_DEATH,nbs_case_answer_uid
D_INV_EPIDEMIOLOGY,nbs_case_answer_uid
D_INV_HIV,nbs_case_answer_uid
D_INV_ISOLATE_TRACKING,nbs_case_answer_uid
D_INV_LAB_FINDING,nbs_case_answer_uid
D_INV_MEDICAL_HISTORY,nbs_case_answer_uid
D_INV_MOTHER,nbs_case_answer_uid
D_INV_OTHER,nbs_case_answer_uid
D_INV_PATIENT_OBS,nbs_case_answer_uid
D_INV_PLACE_REPEAT,PAGE_CASE_UID
D_INV_PLACE_REPEAT,PLACE_LOCATOR_UID
D_INV_PLACE_REPEAT,PLACE_POSTAL_UID
D_INV_PLACE_REPEAT,PLACE_TELE_LOCATOR_UID
D_INV_PLACE_REPEAT,PLACE_UID
D_INV_PREGNANCY_BIRTH,nbs_case_answer_uid
D_INV_RESIDENCY,nbs_case_answer_uid
D_INV_RISK_FACTOR,nbs_case_answer_uid
D_INV_SOCIAL_HISTORY,nbs_case_answer_uid
D_INV_SYMPTOM,nbs_case_answer_uid
D_INV_SYMPTOM,SYM_EXTRAVASC_FLUID_ACCUM
D_INV_TRAVEL,nbs_case_answer_uid
D_INV_TREATMENT,nbs_case_answer_uid
D_INV_UNDER_CONDITION,nbs_case_answer_uid
D_INV_VACCINATION,nbs_case_answer_uid
D_INVESTIGATION_REPEAT,LAB_LINKING_UID
D_INVESTIGATION_REPEAT,PAGE_CASE_UID
D_INVESTIGATION_REPEAT,PARENT_UID
D_INVESTIGATION_REPEAT_INC,LAB_LINKING_UID
D_INVESTIGATION_REPEAT_INC,PAGE_CASE_UID
D_INVESTIGATION_REPEAT_INC,PARENT_UID
D_LDF_META_DATA,custom_subform_metadata_uid
D_LDF_META_DATA,ldf_uid
D_MOVE_CNTRY,TB_PAM_UID
D_MOVE_CNTY,TB_PAM_UID
D_MOVE_STATE,TB_PAM_UID
D_MOVED_WHERE,TB_PAM_UID
D_ORGANIZATION,ORGANIZATION_UID
D_OUT_OF_CNTRY,TB_PAM_UID
D_PATIENT,PATIENT_MPR_UID
D_PATIENT,PATIENT_UID
D_PCR_SOURCE,VAR_PAM_UID
D_PLACE,PLACE_LOCATOR_UID
D_PLACE,PLACE_POSTAL_UID
D_PLACE,PLACE_TELE_LOCATOR_UID
D_PLACE,PLACE_UID
D_PROVIDER,PROVIDER_UID
D_RASH_LOC_GEN,VAR_PAM_UID
D_SMR_EXAM_TY,TB_PAM_UID
D_TB_HIV,TB_PAM_UID
D_TB_PAM,TB_PAM_UID
D_VACCINATION,VACCINATION_UID
D_VAR_PAM,VAR_PAM_UID
DIMENSION_KEYS_PAGECASEID,PAGE_CASE_UID
DIMENSIONAL_KEYS,page_case_uid
DM_INV_ARBO_HUMAN,HSP_UID
DM_INV_ARBO_HUMAN,ORGANIZATION_UID
DM_INV_ARBO_HUMAN,PHC_INV_UID
DM_INV_ARBO_HUMAN,PHYS_UID
DM_INV_ARBO_HUMAN,PROVIDER_UID
DM_INV_ARBO_HUMAN,REPORTING_FACILITY_UID
DM_INV_ARBO_HUMAN,RPT_PRV_UID
DM_INV_C_AURIS,HSP_UID
DM_INV_C_AURIS,ORGANIZATION_UID
DM_INV_C_AURIS,PHC_INV_UID
DM_INV_C_AURIS,PHYS_UID
DM_INV_C_AURIS,PROVIDER_UID
DM_INV_C_AURIS,REPORTING_FACILITY_UID
DM_INV_C_AURIS,RPT_PRV_UID
DM_INV_CONG_SYPHILIS,DEL_HSP_UID
DM_INV_CONG_SYPHILIS,DEL_PRV_UID
DM_INV_CONG_SYPHILIS,FUP_INV_UID
DM_INV_CONG_SYPHILIS,FUP_ORG_UID
DM_INV_CONG_SYPHILIS,FUP_PRV_UID
DM_INV_CONG_SYPHILIS,FUP_SPVR_UID
DM_INV_CONG_SYPHILIS,HSP_UID
DM_INV_CONG_SYPHILIS,IFUP_ASG_UID
DM_INV_CONG_SYPHILIS,IFUP_INV_UID
DM_INV_CONG_SYPHILIS,OBGYN_UID
DM_INV_CONG_SYPHILIS,ORGANIZATION_UID
DM_INV_CONG_SYPHILIS,PED_PRV_UID
DM_INV_CONG_SYPHILIS,PHC_CLS_UID
DM_INV_CONG_SYPHILIS,PHC_DSP_UID
DM_INV_CONG_SYPHILIS,PHC_INV_UID
DM_INV_CONG_SYPHILIS,PHYS_UID
DM_INV_CONG_SYPHILIS,PROVIDER_UID
DM_INV_CONG_SYPHILIS,REPORTING_FACILITY_UID
DM_INV_CONG_SYPHILIS,RPT_PRV_UID
DM_INV_CONG_SYPHILIS,SURV_INV_UID
DM_INV_CP_CRE,HSP_UID
DM_INV_CP_CRE,ORGANIZATION_UID
DM_INV_CP_CRE,PHC_INV_UID
DM_INV_CP_CRE,PHYS_UID
DM_INV_CP_CRE,PROVIDER_UID
DM_INV_CP_CRE,REPORTING_FACILITY_UID
DM_INV_CP_CRE,RPT_PRV_UID
DM_INV_GENERIC_V2,HSP_UID
DM_INV_GENERIC_V2,ORGANIZATION_UID
DM_INV_GENERIC_V2,PHC_INV_UID
DM_INV_GENERIC_V2,PHYS_UID
DM_INV_GENERIC_V2,PROVIDER_UID
DM_INV_GENERIC_V2,REPORTING_FACILITY_UID
DM_INV_GENERIC_V2,RPT_PRV_UID
DM_INV_HEPATITIS_A_ACUTE,HSP_UID
DM_INV_HEPATITIS_A_ACUTE,ORGANIZATION_UID
DM_INV_HEPATITIS_A_ACUTE,PHC_INV_UID
DM_INV_HEPATITIS_A_ACUTE,PHYS_UID
DM_INV_HEPATITIS_A_ACUTE,PROVIDER_UID
DM_INV_HEPATITIS_A_ACUTE,REPORTING_FACILITY_UID
DM_INV_HEPATITIS_A_ACUTE,RPT_PRV_UID
DM_INV_HEPATITIS_B_C_ACUTE,HSP_UID
DM_INV_HEPATITIS_B_C_ACUTE,ORGANIZATION_UID
DM_INV_HEPATITIS_B_C_ACUTE,PHC_INV_UID
DM_INV_HEPATITIS_B_C_ACUTE,PHYS_UID
DM_INV_HEPATITIS_B_C_ACUTE,PROVIDER_UID
DM_INV_HEPATITIS_B_C_ACUTE,REPORTING_FACILITY_UID
DM_INV_HEPATITIS_B_C_ACUTE,RPT_PRV_UID
DM_INV_HEPATITIS_B_C_CHRONIC,HSP_UID
